5556,6879,Raj, Gentlemen I put it to you,SENTENCE,,,,
5556,11401,Raj, Gentlemen I put it to you the worst tapioca pudding is better than the best pudding of any other flavor,JOKE~,,,,
13190,26527,Sheldon, First off that is axiomatically wrong because the best pudding is chocolate Secondly the organic structure of tapioca makes it a jiggling bowl of potential death  It is extracted from the plant  I'm thinking of growing a mustache,JOKE~,,,,
28347,31035,Leonard, No kidding? Fu Manchu a handlebar pencil?,SENTENCE,,,,
31297,35748,???,  It's extracted from  I'm not sure yet  George Clooney has one now  Really?,JOKE,,,,
35963,38709,Raj, I once saw him shopping at Ralph's He was buying tequila,JOKE,,,,
39968,43422,Howard, You'd thinka guy like that would have some kind of booze lackey,JOKE~,,,,
48017,51352,Leonard, This is cruel We'd better let him finish before his head explodes,JOKE~,,,,
51968,56143,???, All right why is tap? Tapioca is extracted from the root of the plant manihot esculenta,SENTENCE,,,,
56313,58959,Leonard, Due to a high concentration of cyanide it is poisonous in its raw form,SENTENCE,,,,
59129,61150,Sheldon, and lethal if prepared improperly,JOKE,,,,
65721,72139,Sheldon, It is also indigenous to Brazil as is the cocoa bean from which we get chocolate the best pudding You promised you wouldn't do that anymore,JOKE,,,,
76634,83134,???, Heard about your latest antiproton decay experiment 20000 data runs and no statistically significant results Very impressive,JOKE,,,,
87723,90775,Raj, Don't feel bad Negative results are still results,JOKE~,,,,
93153,99687,???, All right Please don't cheer me up anymore Don't let him get to you It's Kripke,SENTENCE,,,,
99949,101849,Raj, He's a ginormous knob,JOKE~,,,,
102724,106652,Howard, That's why he eats by himself instead of sitting here at the cool table,JOKE~,,,,
107533,108754,Raj, For shizzle,JOKE~,,,,
112456,124454,Sheldon, It's true Kripke lacks the basic social skills that we take for granted But he also controls the new open science grid computer that I need to use to run some simulations of structure formation in the early universe,SENTENCE,,,,
124624,128389,Leonard, Good luck getting time on it The only people he lets use it are his friends,SENTENCE,,,,
128559,131716,Sheldon, Then the solution is simple I shall befriend him,JOKE~,,,,
136664,143494,???, What would you say to the idea of you and I becoming friends? I would say I have no interest in becoming your friend,JOKE,,,,
146399,148624,???, That seems rather shortsighted coming from someone,SENTENCE,,,,
148794,154831,Sheldon, who is generally considered altogether unlikable Why don't you take some time to reconsider?,SENTENCE,,,,
155216,156791,Kripke, Yeah I'll do that,JOKE,,,,
188643,192805,Leonard, There you go Now any email from Wolowitz will go right into your spam folder,JOKE~,,,,
194222,199086,Penny, Thanks The email doesn't bother me as much as the vacation pictures of him in a bathing suit,JOKE~,,,,
199778,204581,Leonard, Yeah I got the same one and that's not a bathing suit It's a tan line,JOKE~,,,,
210155,212458,Sheldon (on phone), Hello this is Sheldon Cooper,SENTENCE,,,,
212862,215714,Leonard, I am leaving a message for Barry Kripke,SENTENCE,,,,
217457,242633,Sheldon (on phone), It was pleasant seeing you today in the cafeteria I saw that you purchased the chef's salad Apparently you did not know that the chef's salad is kitchen trickery to utilize scrap meat Nevertheless I hope you enjoyed it I'm following up on our pending friendship and I look forward to hearing from you regarding its status Sheldon Cooper,JOKE~,,,,
245714,247476,Penny, What's up with Ichabod?,JOKE~,,,,
248762,250420,Leonard, He's trying to make a new friend,SENTENCE,,,,
250590,252165,Penny, Really? Well good for him,SENTENCE,,,,
252448,254557,???, Unless he makes one out of wood like Geppetto,SENTENCE,,,,
254682,256718,Leonard, I don't think it's gonna happen,JOKE~,,,,
258378,259928,Penny, How did you guys become friends?,SENTENCE,,,,
260250,274605,Leonard, There was a flyer on the bulletin board at the university Roommate wanted Whistlers need not apply  And you moved in anyway?  I assumed he was joking You'd be surprised how many particle physicists have a whimsical side,JOKE~,,,,
275746,278321,Penny, What about Howard and Raj? How did he become friends with them?,SENTENCE,,,,
278491,283696,Leonard, I don't know How do carbon atoms form a benzene ring? Proximity and valence electrons,JOKE~,,,,
290793,293915,Leonard, I suppose I do miss whistling though,JOKE~,,,,
296845,298130,Sheldon, First warning,JOKE~,,,,
306848,308098,Sheldon (Knock knock knock), This is for you,JOKE~,,,,
311031,325060,Sheldon, Hi  What is this?  It's a questionnaire I devised I'm having some difficulty bonding with a colleague at work so I'm doing a little research to better understand why my current friends like me,JOKE~,,,,
